Industry;IndustryId;IndustryAlt
All industries;0;Toate industriile
Administrative / Public Sector;1;Administratie / Sector Public
Agriculture;2;Agrara
Arts / Entertainment;3;Arta / Entertainment
Insurance;4;Asigurari
Financial / Banking;5;Banci / Servicii financiare
Call-Center / BPO;6;Call-center / BPO
Chemistry;7;Chimica
Commerce / Retail;8;Comert / Retail
Construction;9;Constructi
Education / Training;10;Educatie / Training
Pharma;11;Farma
Real estate;12;Imobiliara
Food and Drinks;13;Alimentara
Auto / Automotive;14;Masini / Auto
Wood / PVC;15;Lemn / PVC
Naval / Aeronautical;16;Navala / Aeronautica
Textile;17;Textila
IT / Telecom;18;IT / Telecom
Media / Internet;19;Media / Internet
Medicine / Health;20;Medicina / Sanatate
Security;21;Paza si protectie
Oil / Gas;22;Petrol / Gaze
Services;23;Prestari servicii
Environmental Protection;24;Protectia mediului
Advertising / Marketing / PR;25;Publicitate / Marketing / PR
Sport / Beauty / Spa;26;Sport / Frumusete
Transport / Logistics / Import - Export;27;Transport / Logistica / Import - Export
Tourism;28;Turism / HoReCa
Law;29;Drept
Energy;30;Energetica
