Cod SIRUTA;Numele localitatii;Mediu;Cod judet;Numele localitatii superioare
1160;ABRUD;Urban;AB;ORAS ABRUD
1179;ABRUD-SAT;Urban;AB;ORAS ABRUD
2595;ACHIMETESTI;Rural;AB;AVRAM IANCU
3413;ACMARIU;Rural;AB;BLANDIANA
1222;AIUD;Urban;AB;MUNICIPIUL AIUD
1231;AIUDUL DE SUS;Urban;AB;MUNICIPIUL AIUD
1026;ALBA IULIA;Urban;AB;MUNICIPIUL ALBA IULIA
2149;ALBAC;Rural;AB;ALBAC
7883;ALECUS;Rural;AB;SONA
2327;ALMASU DE MIJLOC;Rural;AB;ALMASU MARE
2318;ALMASU MARE;Rural;AB;ALMASU MARE
5595;AMPOITA;Rural;AB;METES
3477;ANGHELESTI;Rural;AB;BUCIUM
2390;ARIESENI;Rural;AB;ARIESENI
3057;ARONESTI;Rural;AB;BISTRA
8032;ARTI;Rural;AB;SUGAG
5238;ASINIP;Rural;AB;LOPADEA NOUA
2586;AVRAM IANCU;Rural;AB;AVRAM IANCU
2407;AVRAMESTI;Rural;AB;ARIESENI
2602;AVRAMESTI;Rural;AB;AVRAM IANCU
4785;BABA;Rural;AB;HOREA
7847;BACAINTI;Rural;AB;SIBOT
2611;BADAI;Rural;AB;AVRAM IANCU
5256;BAGAU;Rural;AB;LOPADEA NOUA
8443;BAI;Rural;AB;VIDRA
2924;BAIA DE ARIES;Urban;AB;ORAS BAIA DE ARIES
5121;BALCACIU;Rural;AB;JIDVEI
3066;BALESTI;Rural;AB;BISTRA
3075;BALESTI-CATUN;Rural;AB;BISTRA
6789;BALMOSESTI;Rural;AB;ROSIA MONTANA
7838;BALOMIRU DE CIMP;Rural;AB;SIBOT
1035;BARABANT;Urban;AB;MUNICIPIUL ALBA IULIA
2158;BARASTI;Rural;AB;ALBAC
5844;BARBESTI;Rural;AB;MOGOS
5354;BARDESTI;Rural;AB;LUPSA
3084;BARLESTI;Rural;AB;BISTRA
5853;BARLESTI;Rural;AB;MOGOS
7213;BARLESTI;Rural;AB;SCARISOARA
5862;BARLESTI-CATUN;Rural;AB;MOGOS
